jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning
JLPT3,高校生,こうこうせい,high school student
JLPT3,娘,むすめ,"daughter, girl"
JLPT4,九つ,ここのつ,nine (things)
JLPT3,息子,むすこ,son
JLPT4,六つ,むっつ,six (things)
JLPT4,女,おんな,"woman, girl"
JLPT4,新しい,あたらしい,new
JLPT4,今,いま,now
JLPT4,もう,もう,"already, yet"
JLPT4,学生,がくせい,student
JLPT4,よく,よく,often
JLPT3,彼女,かのじょ,"she, one's girlfriend"
JLPT4,聞く,きく,"hear, ask"
JLPT4,若い,わかい,young
JLPT2,かなり,かなり,"fairly, rather"
JLPT4,住む,すむ,"live, reside"
JLPT4,立つ,たつ,"stand, rise"
JLPT3,気持ち,きもち,"feeling, sensation"
JLPT4,広い,ひろい,"wide, big"
JLPT4,走る,はしる,run
JLPT4,売る,うる,sell
JLPT4,教える,おしえる,"teach, tell"
JLPT3,送る,おくる,send
JLPT4,書く,かく,write
JLPT3,もらう,もらう,receive
JLPT4,足,あし,"leg, foot"
JLPT0,出来る,できる,"can do, be good at"
JLPT4,短い,みじかい,"short, brief"
JLPT4,いつも,いつも,always
JLPT4,読む,よむ,read
JLPT4,いつ,いつ,when
JLPT4,速い,はやい,fast
JLPT4,耳,みみ,"ear, hearing"
JLPT4,上げる,あげる,"raise, improve"
JLPT4,楽しい,たのしい,"fun, enjoyable"
JLPT2,しゃべる,しゃべる,"chat, talk"
JLPT4,三,さん,three
JLPT4,来る,くる,come
JLPT0,良い,いい,good
JLPT2,方,ほう,"direction, side"
JLPT4,目,め,eye
JLPT4,六,ろく,six
JLPT4,秋,あき,"autumn, fall"
JLPT4,結婚,けっこん,marriage
JLPT2,日,にち,day
JLPT4,自転車,じてんしゃ,bicycle
JLPT4,自分,じぶん,"self, oneself"
JLPT0,ご主人,ごしゅじん,(your) husband
JLPT0,終わる,おわる,"finish, end"
JLPT4,火曜日,かようび,Tuesday
JLPT4,違う,ちがう,"differ, be wrong"
JLPT4,答える,こたえる,"answer, reply"
JLPT2,別,べつ,"another, different"
JLPT4,なる,なる,become
JLPT3,ため,ため,"sake, purpose"
JLPT4,白い,しろい,"white, blank"
JLPT2,閉じる,とじる,close
JLPT4,出す,だす,take out
JLPT4,仕事,しごと,"work, job"
JLPT4,今月,こんげつ,this month
JLPT4,少し,すこし,"a bit, a little while"
JLPT2,酒,さけ,"alcoholic drink, Japanese rice wine"
JLPT4,飲む,のむ,drink
JLPT4,大人,おとな,adult
JLPT4,水,みず,water
JLPT0,一杯,いっぱい,full
JLPT3,気,き,"spirit, temperament"
JLPT0,分かる,わかる,understand
JLPT4,遊ぶ,あそぶ,play
JLPT4,飛行機,ひこうき,airplane
JLPT0,お願い,おねがい,favor
JLPT3,続く,つづく,"continue, follow"
JLPT3,首,くび,neck
JLPT4,頭,あたま,head
JLPT4,痛い,いたい,painful
JLPT3,探す,さがす,"search for, look for"
JLPT4,お手洗い,おてあらい,"toilet, bathroom"
JLPT4,冷たい,つめたい,"cold (things, touch)"
JLPT4,汚い,きたない,dirty
JLPT4,太い,ふとい,"thick, fat"
JLPT4,九,きゅう,nine
JLPT4,弟,おとうと,younger brother
JLPT2,神,かみ,"god, spirit"
JLPT3,建てる,たてる,"build, erect"
JLPT4,大きい,おおきい,big
JLPT4,同じ,おなじ,"same, identical"
JLPT4,どこ,どこ,where
JLPT4,置く,おく,"put, leave"
JLPT4,あそこ,あそこ,over there
JLPT4,辺,へん,"vicinity, part"
JLPT4,黄色い,きいろい,yellow
JLPT4,する,する,"do, make"
JLPT4,やる,やる,do
JLPT0,一緒に,いっしょに,"together, at the same time"
JLPT4,来年,らいねん,next year
JLPT3,緑,みどり,"green, foliage"
JLPT4,易しい,やさしい,"easy, simple"
JLPT4,留学生,りゅうがくせい,student studying abroad
JLPT3,戻る,もどる,"return, turn back"
JLPT4,起きる,おきる,"get up, get out of bed"
JLPT2,起こる,おこる,happen
JLPT0,起こす,おこす,wake up
JLPT4,起きる,おきる,occur
JLPT4,寝る,ねる,"sleep, go to sleep"
JLPT2,多分,たぶん,"probably, perhaps"
JLPT4,座る,すわる,"sit, sit down"
JLPT4,本,ほん,"book, volume"
JLPT4,細い,ほそい,"thin, slender, narrow"
JLPT3,日記,にっき,diary
JLPT4,時々,ときどき,sometimes
JLPT4,締める,しめる,"tighten, fasten"
JLPT4,甘い,あまい,sweet
JLPT4,辛い,からい,"spicy, salty"
JLPT3,変える,かえる,change
JLPT0,決まる,きまる,be decided
JLPT3,優しい,やさしい,"gentle, kind"
JLPT4,人,ひと,person
JLPT2,夫,おっと,husband
JLPT4,知る,しる,know
JLPT2,誰,だれ,"who, whom"
JLPT2,親,おや,parent
JLPT2,愛する,あいする,"love, care for"
JLPT3,くれる,くれる,be given
JLPT4,二十日,はつか,"20 days, 20th of the month"
JLPT3,妻,つま,wife
JLPT4,五日,いつか,"five days, 5th of the month"
JLPT4,どうして,どうして,why
JLPT3,見える,みえる,be visible
JLPT4,兄,あに,older brother
JLPT0,酸っぱい,すっぱい,sour
JLPT4,小さい,ちいさい,small
JLPT4,言葉,ことば,"word, language"
JLPT4,おいしい,おいしい,tasty
JLPT4,呼ぶ,よぶ,"call, name"
JLPT2,胸,むね,chest
JLPT2,腰,こし,"hip, lower back"
JLPT2,載せる,のせる,"place, put on"
JLPT4,低い,ひくい,"low, short"
JLPT0,一番,いちばん,most
JLPT2,背,せ,"height, stature"
JLPT2,円,えん,circle
JLPT4,覚える,おぼえる,"memorize, learn"
JLPT4,片仮名,かたかな,katakana
JLPT4,平仮名,ひらがな,hiragana
JLPT3,悲しい,かなしい,sad
JLPT3,美しい,うつくしい,beautiful
JLPT4,食べ物,たべもの,food
JLPT4,言う,いう,"say, tell"
JLPT3,彼,かれ,"he, one's boyfriend"
JLPT4,授業,じゅぎょう,"class, lesson"
JLPT4,お母さん,おかあさん,mother
JLPT3,手伝う,てつだう,"help, assist"
JLPT4,飛ぶ,とぶ,fly
JLPT4,歌う,うたう,sing
JLPT4,死ぬ,しぬ,die
JLPT4,大好き,だいすき,love
JLPT4,子供,こども,"child, kid"
JLPT4,狭い,せまい,"narrow, restricted"
JLPT3,触る,さわる,"touch, feel"
JLPT4,嫌い,きらい,dislike
JLPT4,七日,なのか,"seven days, 7th of the month"
JLPT2,有る,ある,"exist, possess"
JLPT2,浴びる,あびる,take (a shower)
JLPT3,生きる,いきる,live (one's life)
JLPT4,長い,ながい,long
JLPT2,髪の毛,かみのけ,hair
JLPT4,鼻,はな,nose
JLPT3,腕,うで,arm
JLPT4,四つ,よっつ,four (things)
JLPT4,みんな,みんな,"all, everybody"
JLPT3,笑う,わらう,"laugh, smile"
JLPT4,紙,かみ,paper
JLPT4,下,した,"under, below"
JLPT4,入れる,いれる,put in
JLPT0,よう,よう,"way, like, kind"
JLPT2,掛ける,かける,"hang, put on"
JLPT2,肩,かた,shoulder
JLPT3,僕,ぼく,I (young male)
JLPT4,曇る,くもる,become cloudy
JLPT2,駄目,だめ,no good
JLPT2,上る,のぼる,go up
JLPT0,落ちる,おちる,"fall, sink"
JLPT4,体,からだ,"body, health"
JLPT4,大丈夫,だいじょうぶ,"alright, OK"
JLPT4,病気,びょうき,illness
JLPT4,百,ひゃく,hundred
JLPT2,風邪,かぜ,cold (illness)
JLPT4,五つ,いつつ,five (things)
JLPT4,顔,かお,face
JLPT4,軽い,かるい,"light, light weight"
JLPT4,茶色,ちゃいろ,light brown
JLPT4,欲しい,ほしい,"want, desire"
JLPT4,万,まん,ten thousand
JLPT0,奇麗,きれい,beautiful
JLPT2,渇く,かわく,be thirsty
JLPT2,嬉しい,うれしい,"happy, glad"
JLPT2,感じる,かんじる,"feel, sense"
JLPT4,なる,なる,become
JLPT0,りんご,りんご,apple
JLPT3,ほとんど,ほとんど,"almost, hardly"
JLPT3,十分,じゅうぶん,"full, plentiful"
JLPT2,分,ぶん,"amount, part, share"
JLPT4,スポーツ,スポーツ,sport
JLPT0,今まで,いままで,"until now, so far"
JLPT3,ごみ,ごみ,"rubbish, trash"
JLPT3,なぜ,なぜ,"why, for what reason"
JLPT2,いつでも,いつでも,"always, at all times"
JLPT4,バス,バス,bus
JLPT2,ピクニック,ピクニック,picnic
JLPT4,あちら,あちら,way over there
JLPT2,少年,しょうねん,boy
JLPT2,きつい,きつい,"tight, difficult"
JLPT0,キャッシュカード,キャッシュカード,cash card
JLPT2,あんなに,あんなに,"that, so"
JLPT1,カップ,カップ,cup
JLPT2,ノック,ノック,knock
JLPT2,クリーニング,クリーニング,"cleaning, laundry"
JLPT4,あなた,あなた,you
JLPT0,ようこそ,ようこそ,welcome
JLPT3,しばらく,しばらく,"awhile, long time, for the time being"
JLPT4,出口,でぐち,"exit, exit ramp"
JLPT2,大分,だいぶ,"very, greatly"
JLPT4,ハンカチ,ハンカチ,handkerchief
JLPT4,先週,せんしゅう,last week
JLPT4,男の子,おとこのこ,"boy, baby boy"
JLPT2,おしゃれ,おしゃれ,"dressing up smartly, trendy"
JLPT0,カレーライス,カレーライス,curried rice
JLPT2,いたずら,いたずら,"mischief, prank"
JLPT3,石,いし,"stone, small rock"
JLPT2,林,はやし,"woods, grove"
JLPT3,ぶどう,ぶどう,grapes
JLPT0,オレンジ,オレンジ,orange
JLPT0,トマト,トマト,tomato
JLPT2,アナウンサー,アナウンサー,"news reader, announcer"
JLPT0,ボーイフレンド,ボーイフレンド,boyfriend
JLPT1,ぺこぺこ,ぺこぺこ,"hungry, starving"
JLPT0,シャープペンシル,シャープペンシル,mechanical pencil
JLPT0,てんぷら,てんぷら,"tempura, Japanese deep-fried breaded food"
JLPT2,キャンプ,キャンプ,"camping, camp"
JLPT4,家,いえ,"house, home"
JLPT3,空気,くうき,"air, atmosphere"
JLPT2,人気,にんき,"popularity, temperament of the people, business conditions"
JLPT4,山,やま,mountain
JLPT4,青い,あおい,blue
JLPT2,晴れ,はれ,"fine weather, clear sky"
JLPT2,又,また,"again, also, or"
JLPT2,ハイキング,ハイキング,hiking
JLPT4,暗い,くらい,"dark, dreary, shadowy"
JLPT4,東,ひがし,"east, eastern"
JLPT4,北,きた,north
JLPT4,向こう,むこう,"the other side, the other party, opponent"
JLPT2,向く,むく,"turn, face, look"
JLPT0,入り口,いりぐち,entrance
JLPT4,パーティー,パーティー,party
JLPT2,ページ,ページ,page
JLPT4,ノート,ノート,"note book, laptop"
JLPT0,ふすま,ふすま,"sliding door, fusuma"
JLPT2,スーツ,スーツ,suit
JLPT0,初め,はじめ,beginning
JLPT0,明後日,あさって,day after tomorrow
JLPT0,半年,はんとし,half a year
JLPT0,半月,はんつき,half a month
JLPT3,カーテン,カーテン,curtain
JLPT4,毎朝,まいあさ,every morning
JLPT3,サンドイッチ,サンドイッチ,sandwich
JLPT3,今夜,こんや,"tonight, this evening"
JLPT0,ピンポン,ピンポン,"table tennis, ping pong"
JLPT2,クリスマス,クリスマス,Christmas
JLPT0,バナナ,バナナ,banana
JLPT4,バター,バター,butter
JLPT2,サラダ,サラダ,salad
JLPT0,ラーメン,ラーメン,ramen (Chinese noodles)
JLPT2,うどん,うどん,"noodles, Japanese wheat noodles"
JLPT4,スプーン,スプーン,spoon
JLPT4,そば,そば,"buckwheat noodles, soba"
JLPT0,ごちそうする,ごちそうする,treat
JLPT0,夕食,ゆうしょく,supper
JLPT2,ワイン,ワイン,wine
JLPT2,コーヒー,コーヒー,coffee
JLPT4,パン,パン,bread
JLPT0,ハンバーガー,ハンバーガー,hamburger
JLPT2,おかず,おかず,side dish
JLPT3,足りる,たりる,"suffice, serve, be satisfied"
JLPT2,ラケット,ラケット,racket
JLPT2,インク,インク,ink
JLPT4,テレビ,テレビ,television
JLPT3,最初,さいしょ,"first, outset"
JLPT3,はっきり,はっきり,clearly
JLPT4,ニュース,ニュース,news
JLPT0,休日,きゅうじつ,"holiday, day off"
JLPT2,ドラマ,ドラマ,"drama, theater, soap opera"
JLPT2,パスポート,パスポート,passport
JLPT3,花見,はなみ,flower viewing
JLPT0,言い方,いいかた,"way of speaking, expression"
JLPT4,ゆっくり,ゆっくり,slowly
JLPT3,テキスト,テキスト,"textbook, text, text file"
JLPT2,語る,かたる,"tell, talk"
JLPT3,子,こ,"child, kid"
JLPT4,英語,えいご,English
JLPT0,右手,みぎて,right hand
JLPT3,字,じ,"character, letter"
JLPT2,覚める,さめる,"awake, wake up"
JLPT2,覚ます,さます,"awaken, wake up"
JLPT2,いずれ,いずれ,"eventually, sometime"
JLPT0,おじさん,おじさん,uncle
JLPT2,話し合う,はなしあう,"discuss, talk over"
JLPT3,行う,おこなう,"do, carry out"
JLPT0,向かう,むかう,"face, confront, head toward"
JLPT0,明日,あした,tomorrow
JLPT3,仕方,しかた,"way, method"
JLPT4,休み,やすみ,"rest, holiday, absence"
JLPT3,帰り,かえり,"return, going home"
JLPT3,大事,だいじ,importance
JLPT0,半日,はんにち,half a day
JLPT0,まま,まま,"as is, still (in the current state)"
JLPT4,電話,でんわ,"telephone, phone call"
JLPT4,電気,でんき,"electricity, electric light"
JLPT2,夜中,よなか,"midnight, dead of night"
JLPT4,開く,あく,open
JLPT2,ホーム,ホーム,platform
JLPT2,上り,のぼり,"going up, ascent"
JLPT0,駅員,えきいん,station employee
JLPT2,一方,いっぽう,one way
JLPT3,通り,とおり,"passage, street"
JLPT3,通う,かよう,"go to and from, frequent a place"
JLPT4,ゼロ,ゼロ,zero
JLPT4,車,くるま,car
JLPT3,通る,とおる,"pass, take, go through"
JLPT2,道路,どうろ,"road, street"
JLPT4,地図,ちず,"map, atlas"
JLPT2,なお,なお,"still, in addition"
JLPT3,つもり,つもり,"intention, purpose"
JLPT3,止める,とめる,"stop, turn off"
JLPT4,止まる,とまる,"come to a stop, cease"
JLPT2,止む,やむ,"stop, abate"
JLPT2,森,もり,"thick woods, forest"
JLPT2,歩道,ほどう,"sidewalk, footpath"
JLPT4,川,かわ,"river, stream"
JLPT3,今度,こんど,"this time, next time"
JLPT2,そんなに,そんなに,"that, so"
JLPT3,ガソリンスタンド,ガソリンスタンド,gas station
JLPT3,社長,しゃちょう,president (of a company)
JLPT0,長さ,ながさ,length
JLPT4,海,うみ,"sea, ocean"
JLPT2,全く,まったく,"entirely, truly, indeed"
JLPT4,七,しち,seven
JLPT3,人口,じんこう,population
JLPT3,億,おく,hundred million
JLPT2,黒,くろ,black
JLPT2,ミルク,ミルク,"milk, baby milk"
JLPT4,銀行,ぎんこう,bank
JLPT4,牛肉,ぎゅうにく,beef
JLPT4,グラム,グラム,gram
JLPT4,魚,さかな,fish
JLPT4,野菜,やさい,vegetable
JLPT0,本屋,ほんや,"bookstore, bookseller"
JLPT4,八百屋,やおや,"vegetable store, greengrocer"
JLPT2,そっち,そっち,"there, thou"
JLPT0,そば屋,そばや,soba restaurant
JLPT0,たばこ屋,たばこや,"cigarette shop, tobacco store"
JLPT3,つく,つく,"be on, switched on"
JLPT2,茶,ちゃ,tea (plain form)
JLPT4,お茶,おちゃ,tea (polite)
JLPT0,茶わん,ちゃわん,"tea cup, rice bowl"
JLPT0,週末,しゅうまつ,weekend
JLPT4,レストラン,レストラン,restaurant
JLPT3,無理,むり,"unreasonable, impossible, forced"
JLPT3,無くなる,なくなる,"disappear, run short, get lost"
JLPT4,作文,さくぶん,"composition, essay"
JLPT3,ジャム,ジャム,jam
JLPT0,ジャガイモ,ジャガイモ,potato
JLPT4,ストーブ,ストーブ,"paraffin heater, stove"
JLPT0,交通費,こうつうひ,"traveling expense, transportation cost"
JLPT3,火,ひ,fire
JLPT3,売り場,うりば,"sales floor, department"
JLPT2,サービス,サービス,"service, on the house"
JLPT0,何度,なんど,"how many degrees, how many times"
JLPT2,商品,しょうひん,"goods, commodities"
JLPT0,上がる,あがる,"go up, rise"
JLPT3,ビル,ビル,building
JLPT3,エスカレーター,エスカレーター,escalator
JLPT4,階段,かいだん,"steps, flight of stairs"
JLPT3,下りる,おりる,"go down, come down"
JLPT2,値段,ねだん,price
JLPT4,ちょうど,ちょうど,"just, as if"
JLPT2,価格,かかく,"price, cost"
JLPT3,最後,さいご,"last, final"
JLPT2,売れる,うれる,"sell, be in demand"
JLPT4,夏休み,なつやすみ,summer vacation
JLPT4,プール,プール,pool
JLPT3,日,ひ,"sun, sunlight, day"
JLPT2,スキー,スキー,"ski, skiing"
JLPT2,四季,しき,the four seasons
JLPT2,クーラー,クーラー,"air conditioning, cooler"
JLPT0,アイス,アイス,"popsicle, ice lolly"
JLPT4,外,そと,"outside, open air"
JLPT3,熱,ねつ,"heat, fever"
JLPT0,下がる,さがる,"come down, hang down, fall"
JLPT2,ウール,ウール,wool
JLPT2,暖める,あたためる,"warm, warm up, heat up"
JLPT2,暖まる,あたたまる,get warm
JLPT2,達する,たっする,"attain, reach"
JLPT2,温度,おんど,temperature
JLPT2,気温,きおん,temperature
JLPT3,台風,たいふう,typhoon
JLPT2,事情,じじょう,"circumstances, conditions"
JLPT2,コンピューター,コンピューター,computer
JLPT4,コート,コート,court
JLPT0,新年,しんねん,New Year
JLPT3,寺,てら,buddhist temple
JLPT0,カセットテープ,カセットテープ,cassette tape
JLPT2,台,だい,"stand, platform"
JLPT2,少しも,すこしも,at all
JLPT3,安心,あんしん,"peace of mind, relief"
JLPT2,ハンドバッグ,ハンドバッグ,handbag
JLPT2,ライター,ライター,lighter
JLPT2,考え,かんがえ,"thought, view, idea"
JLPT2,解決,かいけつ,"solution, settlement"
JLPT2,つまり,つまり,"in short, basically"
JLPT4,女の子,おんなのこ,"girl, daughter"
JLPT2,可能,かのう,"possible, potential"
JLPT3,不便,ふべん,inconvenient
JLPT0,郵便屋さん,ゆうびんやさん,mailman
JLPT2,あっち,あっち,"other side, there"
JLPT3,火事,かじ,fire
JLPT4,交番,こうばん,police box
JLPT4,番号,ばんごう,"number, serial number"
JLPT3,近所,きんじょ,neighborhood
JLPT3,住所,じゅうしょ,"one's dwelling, address"
JLPT1,ぶらぶら,ぶらぶら,"wander aimlessly, hang about"
JLPT2,便所,べんじょ,"lavatory, bathroom"
JLPT4,ボールペン,ボールペン,ballpoint pen
JLPT2,名字,みょうじ,"surname, family name"
JLPT0,ローマ字,ろーまじ,Roman alphabet
JLPT2,氏名,しめい,name
JLPT0,外人,がいじん,"foreigner, alien"
JLPT4,南,みなみ,south
JLPT4,初めて,はじめて,for the first time
JLPT3,水道,すいどう,"water service, channel"
JLPT2,都市,とし,"cities, urban community"
JLPT3,都合,つごう,circumstances
JLPT4,朝御飯,あさごはん,breakfast
JLPT3,心配,しんぱい,"anxiety, worry, good offices"
JLPT2,見送り,みおくり,seeing someone off
JLPT2,コース,コース,"course, route"
JLPT2,メモ,メモ,"memorandum, memo pad"
JLPT2,取れる,とれる,"come off, be removed"
JLPT0,ティッシュ,ティッシュ,tissue
JLPT0,いつごろ,いつごろ,"about when, about what time"
JLPT1,書き取る,かきとる,"write down, note down"
JLPT3,なかなか,なかなか,"not at all, hardly"
JLPT2,郵便,ゆうびん,"mail service, postal matter"
JLPT2,そのまま,そのまま,"like that, unchanged"
JLPT4,持つ,もつ,"maintain, last long"
JLPT2,バッグ,バッグ,bag
JLPT4,マッチ,マッチ,"match, matchbox"
JLPT0,ビデオテープ,ビデオテープ,videotape
JLPT0,持って行く,もっていく,take
JLPT0,持って来る,もってくる,bring
JLPT2,ソファー,ソファー,"sofa, sofa bed"
JLPT3,投げる,なげる,"throw, abandon"
JLPT3,女性,じょせい,"woman, female"
JLPT2,生産,せいさん,production
JLPT4,有名,ゆうめい,famous
JLPT4,生徒,せいと,"pupil, student"
JLPT2,グループ,グループ,group
JLPT4,来月,らいげつ,next month
JLPT2,見学,けんがく,"observation tour, study tour, field trip"
JLPT2,通学,つうがく,"attending school, going to school"
JLPT0,ビザ,ビザ,visa
JLPT2,可,か,"permitted, OK"
JLPT3,小学校,しょうがっこう,elementary school
JLPT4,クラス,クラス,class
JLPT3,校長,こうちょう,"principal, schoolmaster"
JLPT0,休校,きゅうこう,temporary closure of school
JLPT3,忘れ物,わすれもの,"something left behind, lost item"
